Coquimbo,Desconocido Coquimbo,,2020-04-03
Valparaíso,Algarrobo,9.0,2020-04-03
Valparaíso,Cabildo,0.0,2020-04-03
Valparaíso,Calera,7.0,2020-04-03
Valparaíso,Calle Larga,0.0,2020-04-03
Valparaíso,Cartagena,0.0,2020-04-03
Valparaíso,Casablanca,0.0,2020-04-03
Valparaíso,Catemu,0.0,2020-04-03
Valparaíso,Concon,7.0,2020-04-03
Valparaíso,El Quisco,0.0,2020-04-03
Valparaíso,El Tabo,0.0,2020-04-03
Valparaíso,Hijuelas,0.0,2020-04-03
Valparaíso,Isla de Pascua,5.0,2020-04-03
Valparaíso,Juan Fernandez,0.0,2020-04-03
Valparaíso,La Cruz,0.0,2020-04-03
Valparaíso,La Ligua,0.0,2020-04-03
Valparaíso,Limache,0.0,2020-04-03
Valparaíso,Llaillay,0.0,2020-04-03
Valparaíso,Los Andes,0.0,2020-04-03
Valparaíso,Nogales,0.0,2020-04-03
Valparaíso,Olmue,0.0,2020-04-03
Valparaíso,Panquehue,0.0,2020-04-03
Valparaíso,Papudo,0.0,2020-04-03
Valparaíso,Petorca,0.0,2020-04-03
Valparaíso,Puchuncavi,0.0,2020-04-03
Valparaíso,Putaendo,0.0,2020-04-03
Valparaíso,Quillota,9.0,2020-04-03
Valparaíso,Quilpue,11.0,2020-04-03
Valparaíso,Quintero,0.0,2020-04-03
Valparaíso,Rinconada,0.0,2020-04-03
Valparaíso,San Antonio,8.0,2020-04-03
Valparaíso,San Esteban,0.0,2020-04-03
Valparaíso,San Felipe,5.0,2020-04-03
Valparaíso,Santa Maria,0.0,2020-04-03
Valparaíso,Santo Domingo,0.0,2020-04-03
Valparaíso,Valparaiso,23.0,2020-04-03
Valparaíso,Villa Alemana,11.0,2020-04-03
Valparaíso,Vina del Mar,47.0,2020-04-03
Valparaíso,Zapallar,0.0,2020-04-03
Valparaíso,Desconocido Valparaiso,,2020-04-03
Metropolitana,Alhue,0.0,2020-04-03
Metropolitana,Buin,14.0,2020-04-03
Metropolitana,Calera de Tango,7.0,2020-04-03
Metropolitana,Cerrillos,4.0,2020-04-03
Metropolitana,Cerro Navia,26.0,2020-04-03
Metropolitana,Colina,47.0,2020-04-03
Metropolitana,Conchali,22.0,2020-04-03
Metropolitana,Curacavi,5.0,2020-04-03
Metropolitana,El Bosque,35.0,2020-04-03
Metropolitana,El Monte,0.0,2020-04-03
Metropolitana,Estacion Central,25.0,2020-04-03
Metropolitana,Huechuraba,22.0,2020-04-03
Metropolitana,Independencia,22.0,2020-04-03
Metropolitana,Isla de Maipo,0.0,2020-04-03
Metropolitana,La Cisterna,12.0,2020-04-03
Metropolitana,La Florida,67.0,2020-04-03
Metropolitana,La Granja,16.0,2020-04-03
Metropolitana,La Pintana,13.0,2020-04-03
Metropolitana,La Reina,30.0,2020-04-03
Region,Comuna,Casos confirmados,Fecha
Metropolitana,Lampa,13.0,2020-04-03
Metropolitana,Las Condes,224.0,2020-04-03
Metropolitana,Lo Barnechea,85.0,2020-04-03
Metropolitana,Lo Espejo,9.0,2020-04-03
Metropolitana,Lo Prado,20.0,2020-04-03
Metropolitana,Macul,23.0,2020-04-03
Metropolitana,Maipu,64.0,2020-04-03
Metropolitana,Maria Pinto,0.0,2020-04-03
Metropolitana,Melipilla,9.0,2020-04-03
Metropolitana,Nunoa,93.0,2020-04-03
Metropolitana,Padre Hurtado,14.0,2020-04-03
Metropolitana,Paine,0.0,2020-04-03
Metropolitana,Pedro Aguirre Cerda,13.0,2020-04-03
Metropolitana,Penaflor,13.0,2020-04-03
Metropolitana,Penalolen,54.0,2020-04-03
Metropolitana,Pirque,0.0,2020-04-03
Metropolitana,Providencia,94.0,2020-04-03
Metropolitana,Pudahuel,32.0,2020-04-03
Metropolitana,Puente Alto,76.0,2020-04-03
Metropolitana,Quilicura,33.0,2020-04-03
Metropolitana,Quinta Normal,35.0,2020-04-03
Metropolitana,Recoleta,32.0,2020-04-03
